Student_ID,Study_Hours,Attendance,Assignment_Score,Quiz_Score,Internal_Marks,Practical_Score,Midterm_Score,Previous_Sem_Marks,Final_Marks
S001,4.9,92.8,75.6,77.9,78.6,77.3,64.3,61.2,76.5
S002,2.6,57.9,60.9,52.2,58.8,59.6,53,51.7,61.7
S003,3.5,90.8,91.7,86.6,77.1,77.2,77.6,78.5,73.6
S004,5.1,84.2,96.2,77.4,96.9,91.2,98,77,87.9
S005,3,60,49.2,41.9,61.6,46.3,35,40.2,60
S006,5.7,58.9,59.9,60.8,64.6,71.8,65,47.4,61.1
S007,5.1,76.8,81,77.9,69.5,72,72.2,63.5,73
S008,5.7,84.3,65,71.4,76.1,61.8,69.3,57.2,67.8
S009,4.2,81.9,74,58,77.8,71.4,69.2,82.8,70.4
S010,2.6,82.4,60.7,62.2,67.7,54.5,59.7,59.4,59.8
S011,4.4,94.2,84.3,73.1,92.4,75.9,78.4,83.2,82.2
S012,4.6,88.1,76.5,81.1,87,81.9,88.6,72.4,89.3
S013,7.4,90.8,66.6,64.7,80.2,78.4,69.8,66.5,66.5
S014,4.8,91.2,73.2,86.8,91.1,79.6,90.8,74.9,93.5
S015,6.2,88,72.9,72.2,81.9,83.9,71.9,53.8,78.8
S016,2.9,68.2,58.4,49.8,52.8,68.1,56.5,47.6,63.5
S017,6.2,81.8,76.7,81.7,78.7,85.6,67.8,58.5,72.4
S018,4.4,64.5,73.1,61,58.8,64.8,60.5,40.3,69.8
S019,5.4,92.8,90.1,77.2,77.1,89.5,90.6,68.6,93.7
S020,4.7,69.3,66.4,80.2,82.5,59.9,68,75.7,78.8
S021,3.8,81.8,71.8,64.4,82.6,67.1,64.6,64.6,60.9
S022,4.7,70.5,62.5,63.1,73.9,59.6,53.2,68.3,70.5
S023,5.4,97.2,85.6,87.2,90.5,85.5,83,83.8,92.5
S024,3.2,81.9,70.5,62.7,80.6,65.2,54.5,70.7,60
S025,2.9,86.9,69.7,66.9,70.1,64.5,55.6,55.8,66.9
S026,4.7,79.9,66.6,62.9,71.4,79.4,66.5,66.7,71.8
S027,7.2,71.8,87.6,76.8,72.4,78.6,87.5,78.2,85.8
S028,5.3,80.8,70.6,85.1,80.4,78.5,93.9,67.1,79.9
S029,5,73.5,77.8,68.5,78.2,74.8,70.4,75.6,80.6
S030,5.5,78.2,94,59.7,70.7,77.4,85.3,75.9,89.2
S031,8.3,98,100,100,98.6,97.2,100,87.6,100
S032,4.7,78.8,76.7,83.8,69,70.2,63.2,54.5,50.1
S033,3.8,68.5,66.6,60.9,78.1,72.6,65.1,52.9,64.1
S034,5.4,63.6,67.6,48.6,68.9,74,60.6,58.3,62.7
S035,5.9,83.8,80.6,76.9,81.1,81,78.6,76.3,71.1
S036,7.7,79.6,87.5,85.1,87.7,89.7,83.1,74.3,90.8
S037,4.9,72.3,66.9,68.3,72.3,63.8,58.3,65.9,80.3
S038,2.6,72.6,63.6,50.7,63,60.5,45.9,61.4,54.1
S039,2.4,78.7,55.9,62.6,58.5,66.6,61.3,61.9,63.6
S040,7.4,88.1,86.8,84.9,80.9,86.2,78,85.3,78.6
S041,7.5,68.7,90.5,72.1,76.4,83.4,77,84.4,80.5
S042,5.1,85,81.5,82.2,72.9,82.9,76.2,66.2,90.4
S043,3.7,72.5,62.4,76.3,69.1,66.9,65.7,71.2,60.9
S044,6.8,83,80.1,77,79.2,83.3,75.5,65.9,81.7
S045,3.6,90.4,71.1,68.3,65.6,73.5,64.7,75.6,62.3
S046,3.9,65.5,80,71.2,74.2,71,79.5,70,86.9
S047,6.4,81.7,73.3,86.9,89.6,84.3,92.5,74,89.8
S048,4.5,84.1,73.1,60.9,83.2,56.2,75.1,56.9,75.2
S049,5.4,73,69.2,80.4,86.8,81.6,84.9,73.5,85.9
