S_No,State/UT,"Waste_Processed(TPD,2022)","Waste_Processed(TPD,2023)","Waste_Processed(TPD,2023)"
1,Andhra Pradesh,"4,713","5,767","5,068"
2,Andaman and Nicobar,50,39,58
3,Arunac hal Pradesh,51,86,40
4,Assam,790,482,844
5,Bihar,"1,633","1,186","1,984"
6,Chandigarh,465,571,491
7,Chhattisgarh,"1,656","1,670","2,534"
8,DNH & DD,86,54,72
9,Delhi,"10,028","9,225","8,804"
10,Goa,112,157,178
11,Gujarat,"8,775","9,107","10,673"
12,Haryana,"4,795","3,821","4,128"
13,Himachal Pradesh,240,303,339
14,Jammu & Kashmir,147,546,906
15,Jharkhand,"1,343","1,345","1,103"
16,Karnataka,"6,310","8,474","8,525"
17,Kerala,"2,035","1,707","1,444"
18,Ladakh,2,17,6
19,Madhya Pradesh,"6,493","6,768","6,703"
20,Maharashtra,"20,515","21,961","22,520"
21,Manipur,5,224,189
22,Meghalaya,-,-,79
23,Mizoram,81,-,10
24,Nagaland,3,3,9
25,Odisha,"1,565","1,507","1,759"
26,Puducherry,3,35,338
27,Punjab,"2,104","2,341","3,206"
28,Rajasthan,"2,449","2,589","4,125"
29,Sikkim,8,11,54
30,Tamil Nadu,"5,325","9,570","10,105"
31,Telangana,"9,174","10,219","11,802"
32,Tripura,198,201,339
33,Uttar Pradesh,"13,798","15,784","18,844"
34,Uttarakhand,913,"1,312","1,642"
35,West Bengal,786,786,786
,TOTAL,"1,06,655","1,17,868","1,29,708"
