S_No,State/UT,Number of DumpSites,Legacy_Waste_Qty(Lakh Tonnes),Remediated_Waste_Qty((Lakh Tonnes))
1,A&N Islands,1,0.86,0.86
2,Andhra Pradesh,129,95.29,70.81
3,Arunachal Pradesh,9,0.36,0.22
4,Assam,25,25.33,14.71
5,Bihar,57,46.08,19.55
6,Chandigarh,2,12.77,12.77
7,Chhattisgarh,12,7.10,7.1
8,DD & DNH,2,1.40,1.03
9,Delhi,3,203.00,146.1
10,Goa,4,17.97,17.97
11,Gujarat,144,221.57,221.03
12,Haryana,92,107.71,74.12
13,Himachal Pradesh,10,5.29,3.87
14,Jammu And Kashmir,38,26.23,4.68
15,Jharkhand,38,31.29,10.35
16,Karnataka,213,175.29,18.42
17,Kerala,36,13.10,8.87
18,Ladakh,1,0.67,0.67
19,Madhya Pradesh,173,72.95,54.93
20,Maharashtra,239,512.55,216.23
21,Manipur,5,1.60,1.02
22,Meghalaya,6,3.31,1.5
23,Mizoram,2,7.84,7.84
24,Nagaland,12,8.10,0
25,Odisha,97,44.29,26.02
26,Puducherry,3,3.20,3.16
27,Punjab,94,71.42,36.7
28,Rajasthan,224,112.77,42.94
29,Sikkim,2,2.54,1.88
30,Tamil Nadu,297,190.66,131.16
31,Telangana,114,158.13,133.23
32,Tripura,14,5.72,5.2
33,Uttar Pradesh,224,154.93,133.67
34,Uttarakhand,36,14.93,10.04
35,West Bengal,120,148.81,82.63
,TOTAL,"2,478","2,505","1,521"
