YearsExperience,Salary
0.6,47658
0.8,39761
0.8,22000
0.8,40863
0.9,40501
1,36967
1.1,44276
1.1,31209
1.2,48903
1.3,35349
1.4,37811
1.7,35084
1.7,50527
1.8,26433
1.8,32188
1.9,44771
1.9,36438
1.9,47563
2,58745
2.1,49378
2.1,48441
2.2,53041
2.2,45942
2.3,50334
2.4,34849
2.4,51409
2.5,40988
2.5,48283
2.5,38929
2.6,56056
2.7,53446
2.7,52233
2.7,35429
2.8,44627
2.9,55039
2.9,53280
3,42996
3.1,55180
3.1,63042
3.2,51465
3.3,61314
3.3,58097
3.4,49523
3.4,66300
3.6,59888
3.8,55296
3.8,51115
3.8,54357
3.9,61201
4,65669
4.2,65016
4.3,58841
4.4,52903
4.4,62900
4.4,67331
4.6,69015
4.6,62803
4.7,62395
4.7,57331
4.8,67719
4.9,73279
4.9,67436
4.9,65313
5,66294
5,70968
5.1,69925
5.1,67596
5.2,65627
5.3,80599
5.3,72904
5.5,70372
5.6,84162
5.7,85900
5.9,71297
5.9,79884
5.9,65984
5.9,75188
6,77276
6.1,66496
6.4,73413
6.4,83662
6.5,73752
6.8,90196
6.8,90398
6.8,69369
6.8,91489
6.9,96513
6.9,91611
6.9,82438
7,85659
7,92047
7,83955
7.1,84459
7.2,90781
7.2,99701
7.3,78156
7.3,85767
7.3,89636
7.4,97641
7.4,73161
7.5,82904
7.6,92984
7.6,86102
7.7,90265
7.8,89099
8,96897
8,88244
8,105230
8.5,108332
8.5,98214
8.5,96135
8.5,96932
8.6,100425
8.6,109813
8.7,92692
8.7,98663
8.8,104661
8.9,92996
8.9,113326
9,107115
9,102466
9.1,113379
9.2,100298
9.6,107868
9.6,104724
9.7,105933
9.7,114619
9.8,102253
9.9,104318
10.1,102599
10.1,105459
10.1,125452
10.1,119967
10.1,116496
10.2,117526
10.2,107021
10.2,114643
10.4,128105
10.4,114798
10.6,112197
10.6,115167
10.6,113656
10.7,113022
10.7,108163
10.9,106463
10.9,120273
11,124492
11,125479
11.3,109191
11.3,138022
11.4,137494
11.5,125767
11.5,122634
11.5,134208
11.6,124430
11.6,113176
11.7,128103
11.7,124355
11.8,126791
11.8,122833
11.8,124629
11.8,136491
11.9,127901
11.9,129708
11.9,145535
12.2,126940
12.2,120190
12.3,136738
12.4,126861
12.5,125862
12.5,127706
12.5,136999
12.6,124662
12.6,129661
12.6,120911
12.9,133572
12.9,133164
12.9,136274
13.2,138816
13.4,141079
13.4,135764
13.5,133128
13.5,123975
13.5,142136
13.6,131430
13.7,141672
13.8,142292
13.9,140731
13.9,132668
14.1,148711
14.1,150887
14.1,145877
14.3,154770
14.4,146436
14.4,140307
14.5,159138
14.6,149096
14.6,156652
14.6,145718
14.9,155093
